代码,名称,时间,每股收益,每股净资产,净资产收益率,资产负债率,流动比率,总资产周转率,yield
000100.SZ,TCL科技,2018/12/31,0.257,2.25,11.5,68.4,1.02,0.643,65.71428568
000150.SZ,宜华健康,2018/12/31,0.283,3.85,7.57,69.5,0.664,0.277,-16.15750168
000151.SZ,中成股份,2018/12/31,0.282,3.38,8.38,53.6,1.52,0.589,31.05468751
000153.SZ,丰原药业,2018/12/31,0.192,4.06,4.86,57.1,0.968,1.04,32.81553396
000155.SZ,川能动力,2018/12/31,0.24,2.57,9.59,47.6,2.84,0.61,33.05555556
000156.SZ,华数传媒,2018/12/31,0.45,7.45,6.12,27.7,3.25,0.235,53.72005047
000157.SZ,中联重科,2018/12/31,0.26,4.89,5.33,58.5,1.78,0.325,25.84269663
000158.SZ,常山北明,2018/12/31,0.11,3.68,3.08,56.9,1.32,0.717,31.03448276
000159.SZ,国际实业,2018/12/31,0.125,4.47,2.83,21.8,2.7,0.191,138.3886256
000166.SZ,申万宏源,2018/12/31,0.19,3.08,6.68,79.5,0,0.0472,35.62653562
000301.SZ,东方盛虹,2018/12/31,0.26,3.21,10.2,40.8,1.04,1.4,9.89010989
000333.SZ,美的集团,2018/12/31,3.08,12.5,25.8,64.9,1.4,1.02,32.20293
000338.SZ,潍柴动力,2018/12/31,1.08,4.92,23.2,69.7,1.22,0.807,53.89610388
000400.SZ,许继电气,2018/12/31,0.198,7.69,2.6,42.7,1.98,0.55,19.23509566
000401.SZ,冀东水泥,2018/12/31,1.1,8.61,12,61.6,0.802,0.599,42.0840064
000402.SZ,金融街,2018/12/31,1.09,10.7,10.6,75,2.71,0.162,33.22981365
000403.SZ,派林生物,2018/12/31,0.293,2.34,13.2,53,1.13,0.652,13.58220809
000404.SZ,长虹华意,2018/12/31,0.104,4.6,2.27,58.2,1.36,0.888,24.09326427
000407.SZ,胜利股份,2018/12/31,0.12,2.58,4.61,57.4,0.726,0.815,26.54155497
000408.SZ,藏格控股,2018/12/31,0.426,3.73,12.2,20.8,2.23,0.313,7.21925134
000409.SZ,云鼎科技,2018/12/31,0.0606,1.93,3.65,55.1,1.33,0.569,3.00353357
000410.SZ,ST沈机,2018/12/31,-1.03,0.0879,-169,99.3,0.86,0.24,26.62440571
000411.SZ,英特集团,2018/12/31,0.45,4.48,10.6,76.8,1.25,2.27,6.88291138
000413.SZ,东旭光电,2018/12/31,0.38,5.68,6.82,53.9,1.67,0.402,34.22222221
000415.SZ,渤海租赁,2018/12/31,0.369,5.78,6.77,80.7,1,0.141,29.16666667
000416.SZ,民生控股,2018/12/31,0.0376,1.64,2.29,2.21,36.3,0.0866,28.11735941
000417.SZ,合肥百货,2018/12/31,0.288,4.83,6.04,57.6,1.02,1.04,22.63279445
000419.SZ,通程控股,2018/12/31,0.26,5.09,5.93,39.4,1.36,0.867,27.20588235
000420.SZ,吉林化纤,2018/12/31,0.0672,1.48,4.64,59.1,0.431,0.385,55.78947368
000421.SZ,南京公用,2018/12/31,0.25,4.46,5.69,69.7,0.838,0.314,20.40358744
000422.SZ,湖北宜化,2018/12/31,0.23,0.105,31.3,91.9,0.31,0.454,52.24913495
000423.SZ,东阿阿胶,2018/12/31,3.19,17.3,19.7,18.3,4.37,0.559,19.97471555
000425.SZ,徐工机械,2018/12/31,0.261,3.25,7.56,50.5,1.69,0.8,36.22291023
000426.SZ,兴业矿业,2018/12/31,-0.0918,2.74,-3.25,42.8,0.363,0.267,25.70281124
000428.SZ,华天酒店,2018/12/31,-0.469,2.49,-17.2,65.9,0.628,0.118,32.66129032
000429.SZ,粤高速A,2018/12/31,0.8,4.59,18,38.4,0.739,0.196,8.22407627
000430.SZ,张家界,2018/12/31,0.07,3.9,1.69,36.5,0.671,0.194,39.66942149
000488.SZ,晨鸣纸业,2018/12/31,0.51,6.05,9.5,75.4,0.781,0.274,20.49910875
000498.SZ,山东路桥,2018/12/31,0.592,4.46,14.7,73.4,1.18,0.711,20.15810277
000501.SZ,鄂武商A,2018/12/31,1.39,10.7,13.6,64,0.557,0.866,26.68776366
000502.SZ,*ST绿景,2018/12/31,0.42,1.12,46.2,47.2,1.57,0.0373,22.36842105
000503.SZ,国新健康,2018/12/31,-0.209,1.35,-14.3,4.9,12.3,0.07,76.00755668
000504.SZ,南华生物,2018/12/31,-0.11,-0.0329,-489,68.6,0.647,0.255,30.63352045
000505.SZ,京粮控股,2018/12/31,0.24,3.31,7.68,42.3,1.43,1.35,15.39855072
000506.SZ,中润资源,2018/12/31,0.0454,1.13,4.09,56,1.08,0.195,34.20074349
000507.SZ,珠海港,2018/12/31,0.214,3.64,6.01,52.3,0.874,0.41,19.84848485
000509.SZ,*ST华塑,2018/12/31,-0.0651,0.0127,-184,92.7,0.761,4.73,12.22222222
000510.SZ,新金路,2018/12/31,0.164,1.53,11.2,35.6,0.995,1.39,34.60559796
000513.SZ,丽珠集团,2018/12/31,1.51,14.8,10.1,32.6,2.32,0.532,39.12524845
000514.SZ,渝开发,2018/12/31,0.0298,3.55,0.84,47.3,1.9,0.0839,35.34246573
000516.SZ,国际医学,2018/12/31,1.11,2.91,46.7,20.9,2.46,0.31,23.43434343
000517.SZ,荣安地产,2018/12/31,0.191,1.49,13.6,80.4,1.42,0.212,38.09523814
000518.SZ,四环生物,2018/12/31,-0.0286,0.582,-4.8,30.6,2.7,0.426,18.20809249
000519.SZ,中兵红箭,2018/12/31,0.247,5.6,4.51,24.6,3.19,0.492,39.90461049
000520.SZ,长航凤凰,2018/12/31,0.0605,0.373,17.6,39.9,1.23,1.46,37.15277778
000521.SZ,长虹美菱,2018/12/31,0.037,4.8,0.768,67,1.22,1.11,31.41891893
000523.SZ,*ST浪奇,2018/12/31,0.05,3.02,1.78,73.2,1.21,2.02,44.55696201
000524.SZ,岭南控股,2018/12/31,0.31,3.82,8.02,43.2,1.85,1.57,17.10144927
000525.SZ,ST红太阳,2018/12/31,1.1,7.99,12.7,64.5,0.831,0.462,8.98075551
000526.SZ,学大教育,2018/12/31,0.135,0.873,16.8,97.9,0.436,0.799,49.2872807
000528.SZ,柳工,2018/12/31,0.54,6.59,8.43,61.5,1.48,0.756,28.33607907
000529.SZ,广弘控股,2018/12/31,0.29,2.56,11.7,25.6,2.84,1.2,44.19642859
000530.SZ,冰山冷热,2018/12/31,0.13,3.95,3.25,37.9,1.42,0.351,44.10876134
000531.SZ,穗恒运A,2018/12/31,0.12,5.72,2.09,58.8,0.663,0.32,41.10671938
000532.SZ,华金资本,2018/12/31,0.159,2.29,7.14,63.7,0.505,0.216,23.50557244
000533.SZ,顺钠股份,2018/12/31,-1.4,0.878,-88.4,62.3,1.47,2.79,39.92094862
000534.SZ,万泽股份,2018/12/31,0.12,3.12,4,40.9,1.81,0.103,-0.95785439
000536.SZ,华映科技,2018/12/31,-1.8,2.7,-49.2,60.5,0.697,0.225,81.28342246
000537.SZ,广宇发展,2018/12/31,1.34,5.74,24.6,85.9,1.33,0.364,22.96395195
000538.SZ,云南白药,2018/12/31,3.18,19,17.5,34.4,2.68,0.92,15.60302866
000539.SZ,粤电力A,2018/12/31,0.09,4.61,1.98,57,0.629,0.38,6.47948164
000540.SZ,中天金融,2018/12/31,0.21,2.43,8.86,80.7,0.953,0.173,-5.13347024
000541.SZ,佛山照明,2018/12/31,0.27,3.09,8.3,22.3,2.94,0.675,15.44401545
000543.SZ,皖能电力,2018/12/31,0.31,5.47,5.58,50.2,0.553,0.484,12.10855949
000544.SZ,中原环保,2018/12/31,0.43,5.94,7.36,33,1.92,0.13,22.4852071
000545.SZ,金浦钛业,2018/12/31,0.103,2.08,5.03,34.3,1.24,0.631,23.96166134
000546.SZ,金圆股份,2018/12/31,0.525,5.16,10.6,49.4,1.01,0.972,15.12702078
000547.SZ,航天发展,2018/12/31,0.31,4.39,7.31,22.5,2.38,0.415,44.84126981
000548.SZ,湖南投资,2018/12/31,0.08,3.33,2.43,23.2,2.08,0.142,20.0913242
000550.SZ,江铃汽车,2018/12/31,0.11,12,0.8,55.6,1.17,1.13,77.8213167
000551.SZ,创元科技,2018/12/31,0.22,4.05,5.32,50.8,1.37,0.694,27.88296042
000552.SZ,靖远煤电,2018/12/31,0.251,3.19,8.09,27.9,1.99,0.41,22.26562501
000553.SZ,安道麦A,2018/12/31,0.98,9.11,11.7,48,2.18,0.622,26.06790801
000554.SZ,泰山石油,2018/12/31,0.0039,1.87,0.206,28.8,0.77,2.53,28.125
000555.SZ,神州信息,2018/12/31,0.0437,5.13,0.856,53,1.38,0.848,40.57815848
000557.SZ,西部创业,2018/12/31,0.1,3.38,3.29,14.6,2.06,0.141,37.60932945
000558.SZ,莱茵体育,2018/12/31,-0.05,0.982,-4.72,51,1.08,0.265,56.55172414
000559.SZ,万向钱潮,2018/12/31,0.262,1.89,14.1,54.7,1.4,0.964,31.640625
000560.SZ,我爱我家,2018/12/31,0.271,3.99,7.34,48.3,1.15,0.602,55.88865097
000561.SZ,烽火电子,2018/12/31,0.15,2.27,6.52,48.3,1.86,0.431,33.33333333
000563.SZ,陕国投A,2018/12/31,0.0912,2.63,3.48,15.2,0,0.0946,97.76119404
000564.SZ,*ST大集,2018/12/31,0.127,5.19,2.48,42.6,1.67,0.293,43.87351779
000565.SZ,渝三峡A,2018/12/31,0.1,2.49,4.26,26.5,3.15,0.415,38.49765258
000566.SZ,海南海药,2018/12/31,0.09,3.45,2.53,53.3,1.4,0.237,47.4609375
000567.SZ,海德股份,2018/12/31,0.327,9.37,5.44,18,5.36,0.0785,19.78417266
000568.SZ,泸州老窖,2018/12/31,2.38,11.6,21.7,24.2,2.86,0.616,63.74815542
000570.SZ,苏常柴A,2018/12/31,0.111,3.64,2.91,41.8,1.67,0.588,48.12834225
000571.SZ,ST大洲,2018/12/31,-1.08,1.63,-50.1,55.4,0.795,0.338,1.16618076
000572.SZ,海马汽车,2018/12/31,-0.996,2.97,-28.6,49.6,0.589,0.389,23.4741784
000573.SZ,粤宏远A,2018/12/31,0.0836,2.61,3.09,50.8,1.85,0.285,19.34426227
000576.SZ,甘化科工,2018/12/31,0.22,2.5,9.22,31.2,2.23,0.285,60.66666667
000581.SZ,威孚高科,2018/12/31,2.37,15.8,15.6,21.3,3.08,0.424,30.74745187
000582.SZ,北部湾港,2018/12/31,0.46,5.63,8.1,39,0.976,0.281,33.23863636
000584.SZ,哈工智能,2018/12/31,0.196,2.77,7.31,60,1.05,0.583,45.22292994
000585.SZ,*ST东电,2018/12/31,0.02,0.00987,0,95.6,0.458,0.0796,40.68627451
000586.SZ,汇源通信,2018/12/31,-0.015,1.21,-1.23,56.4,1.6,0.736,-8.38375108
000587.SZ,*ST金洲,2018/12/31,-1.45,3.1,-35.6,78.6,0.795,0.312,34.04255319
000589.SZ,贵州轮胎,2018/12/31,0.11,4.39,2.62,67.4,0.847,0.676,22.98507463
000590.SZ,启迪药业,2018/12/31,-0.159,2.42,-6.57,29,3.45,0.22,126.5789474
000591.SZ,太阳能,2018/12/31,0.287,4.23,6.94,62.4,1.1,0.153,39.86486485
000592.SZ,平潭发展,2018/12/31,0.0136,1.65,0.83,21.4,3.78,0.216,46.44194757
000593.SZ,大通燃气,2018/12/31,-0.518,2.57,-18.3,43.3,1.33,0.376,12.24806202
000595.SZ,宝塔实业,2018/12/31,-0.13,0.817,-14.9,61.7,1.01,0.233,40.5511811
000596.SZ,古井贡酒,2018/12/31,3.37,15.1,24.1,35.8,2.1,0.767,99.22164566
000597.SZ,东北制药,2018/12/31,0.36,6.09,6.61,69.3,0.841,0.669,29.33070865
000598.SZ,兴蓉环境,2018/12/31,0.33,3.5,9.82,46.7,0.665,0.21,15.38461538
000599.SZ,青岛双星,2018/12/31,0.03,4.39,0.857,57,1.09,0.432,31.62162163
000600.SZ,建投能源,2018/12/31,0.241,6.11,3.99,57.8,0.607,0.444,59.76095617
000601.SZ,韶能股份,2018/12/31,0.28,4.18,6.75,52,0.694,0.357,25
000603.SZ,盛达资源,2018/12/31,0.6,2.63,19.4,42.1,0.738,0.698,7.29999996
000605.SZ,渤海股份,2018/12/31,0.17,5.91,2.91,58.7,0.954,0.261,22.44467858
000606.SZ,ST顺利,2018/12/31,0.122,3.64,3.37,31.9,1.01,0.184,33.1092437
000607.SZ,华媒控股,2018/12/31,0.1,1.86,5.7,34.7,1.42,0.543,32.59259259
000608.SZ,阳光股份,2018/12/31,0.02,3.97,0.385,43.3,0.958,0.0419,41.83673469
000609.SZ,*ST中迪,2018/12/31,-0.2,5.06,-3.93,48.9,3.28,0.0125,20.76190476
000610.SZ,西安旅游,2018/12/31,0.407,3.68,11.7,28,1.84,0.678,104.4058745
000611.SZ,*ST天首,2018/12/31,-0.432,1.13,-31.1,63.9,0.103,0.0104,-24.5045045
000612.SZ,焦作万方,2018/12/31,-0.371,3.54,-9.9,43.2,0.554,0.659,29.04040405
000613.SZ,*ST东海A,2018/12/31,0.0018,0.214,0.843,11.8,2.05,0.336,1.20481928
000615.SZ,奥园美谷,2018/12/31,0.2,2.46,8.11,75.7,1.48,0.269,45.38606403
000616.SZ,ST海投,2018/12/31,0.24,3.04,8.38,27.5,7.4,0.0322,45.22821577
000617.SZ,中油资本,2018/12/31,0.8,8.57,9.72,84,0.831,0.0386,28.93023255
000619.SZ,海螺型材,2018/12/31,0.027,6.81,0.397,30.4,1.98,0.846,24.27745664
000620.SZ,新华联,2018/12/31,0.63,4.1,16.7,81.4,1.2,0.267,20.20460356
000622.SZ,恒立实业,2018/12/31,0.0074,0.448,1.67,40.3,3.07,0.53,-11.58455393
000623.SZ,吉林敖东,2018/12/31,0.804,17.6,4.53,13.8,4.9,0.143,26.19542626
000625.SZ,长安汽车,2018/12/31,0.14,9.63,1.45,50.6,1,0.664,25.64491654
000626.SZ,远大控股,2018/12/31,0.08,4.7,1.86,61.2,1.83,8.27,32.60869565
000627.SZ,天茂集团,2018/12/31,0.27,3.84,6.92,85.4,0,0.194,21.56862745
000628.SZ,高新发展,2018/12/31,0.176,2.61,6.99,75.2,1.3,0.293,10.63829788
000629.SZ,攀钢钒钛,2018/12/31,0.36,0.861,52.8,35.2,1.58,1.36,18.66666667
000630.SZ,铜陵有色,2018/12/31,0.07,1.7,4.03,58.5,1.11,1.78,29.94923854
000631.SZ,顺发恒业,2018/12/31,0.42,2.62,16.5,48.7,3.27,0.206,22.55892254
000632.SZ,三木集团,2018/12/31,0.0712,2.8,2.57,79.7,1.28,0.946,24.09326425
000633.SZ,合金投资,2018/12/31,0.0127,0.424,3.04,84.5,0.154,0.109,27.66884532
000635.SZ,英力特,2018/12/31,0.09,8.73,0.954,15.7,2.66,0.604,17.05882353
000636.SZ,风华高科,2018/12/31,1.14,6.07,20.5,21.5,2.56,0.685,44.87895724
000637.SZ,茂化实华,2018/12/31,0.07,1.65,4.23,23.6,3.14,3.53,30.66666667
000638.SZ,*ST万方,2018/12/31,-0.48,0.422,-74.8,73.9,0.978,0.142,36.57657658
000639.SZ,西王食品,2018/12/31,0.62,5.67,14.1,51.1,1.39,0.65,61.31045242
000650.SZ,仁和药业,2018/12/31,0.41,2.74,15.8,15.2,4.2,1,20.98540146
000651.SZ,格力电器,2018/12/31,4.36,15.2,33.4,63.1,1.27,0.858,34.06710033
000652.SZ,泰达股份,2018/12/31,0.21,2.72,7.94,85.1,1.03,0.57,51.1627907
000655.SZ,金岭矿业,2018/12/31,0.169,4.02,4.28,11.4,4.04,0.388,58.45697327
000656.SZ,金科股份,2018/12/31,0.72,4.02,18.1,83.6,1.55,0.213,17.93214863
000657.SZ,中钨高新,2018/12/31,0.154,3.62,4.33,49.2,1.41,1.12,25.56390977
000659.SZ,珠海中富,2018/12/31,0.0174,0.532,3.34,75.6,0.496,0.631,-15.12195122
000661.SZ,长春高新,2018/12/31,5.92,31.1,20.7,32.8,2.24,0.641,81.13714288
000663.SZ,*ST永林,2018/12/31,-3.9,2.38,-88.9,70,0.818,0.217,20.46979866
000665.SZ,湖北广电,2018/12/31,0.29,9.41,2.99,40.2,0.697,0.267,32.40223465
000666.SZ,经纬纺机,2018/12/31,1.08,11.8,9.48,46.7,1.79,0.269,29.40630803
000667.SZ,美好置业,2018/12/31,0.0974,2.81,3.49,66.3,1.55,0.125,12
000668.SZ,荣丰控股,2018/12/31,0.06,5.78,1.21,66,1.4,0.0978,29.29292931
000669.SZ,*ST金鸿,2018/12/31,-2.33,3.71,-47.7,75.2,0.311,0.36,9.91452991
000670.SZ,*ST盈方,2018/12/31,-0.208,0.242,-60.6,22,1.22,0.293,86.16352201
000671.SZ,阳光城,2018/12/31,0.66,4.44,14.3,84.4,1.5,0.237,60.88631985
000672.SZ,上峰水泥,2018/12/31,1.81,4.25,51.7,49.1,1.09,0.817,34.71563983
000673.SZ,*ST当代,2018/12/31,-2.02,0.699,-118,68.9,1.27,0.268,11.30063966
000676.SZ,智度股份,2018/12/31,0.739,6.07,13.1,25.7,2.17,1.03,11.69652266
000677.SZ,恒天海龙,2018/12/31,0.0015,0.317,0.487,24.7,1.67,0.823,73.46153846
000678.SZ,襄阳轴承,2018/12/31,-0.13,2.58,-4.9,54.4,0.902,0.537,75.8
000679.SZ,大连友谊,2018/12/31,-1.16,2.63,-36.3,81.5,1.14,0.187,31.16883117
000680.SZ,山推股份,2018/12/31,0.0649,2.72,2.41,60.8,1.3,0.845,25.382263
000681.SZ,视觉中国,2018/12/31,0.459,4.13,11.8,31.2,1.18,0.237,13.03602059
000682.SZ,东方电子,2018/12/31,0.137,2.25,7.18,36.3,2.37,0.612,84.89425979
000683.SZ,远兴能源,2018/12/31,0.33,2.47,14,50.2,0.623,0.391,25.73839662
000685.SZ,中山公用,2018/12/31,0.47,8.33,5.65,26.6,0.66,0.123,23.71428571
000686.SZ,东北证券,2018/12/31,0.13,6.42,1.96,75.2,0,0.109,62.6198083
000687.SZ,*ST华讯,2018/12/31,-0.606,1.16,-41,76.5,0.857,0.369,30.42253521
000688.SZ,国城矿业,2018/12/31,0.356,2.06,18,10.8,4.24,0.49,5.2859619
000690.SZ,宝新能源,2018/12/31,0.21,4.07,5.34,59,1.16,0.197,21.54531947
000691.SZ,亚太实业,2018/12/31,0.034,0.264,13.8,50.2,1.83,0.167,12.22707424
000692.SZ,惠天热电,2018/12/31,0.0112,2.64,0.438,76,0.614,0.325,32.03125
000695.SZ,滨海能源,2018/12/31,0.164,1.64,10.4,37.7,2.52,0.81,20.11111111
000697.SZ,炼石航空,2018/12/31,0.0425,4.57,1.07,41,0.636,0.307,14.20500404
000698.SZ,沈阳化工,2018/12/31,0.14,5.51,2.65,50.7,0.882,1.14,21.70329672
000700.SZ,模塑科技,2018/12/31,0.012,2.64,0.439,68.5,0.73,0.665,30.84745764
000701.SZ,厦门信达,2018/12/31,-0.234,6.92,0.481,69.1,1.18,4.07,28.54785479
000702.SZ,正虹科技,2018/12/31,0.209,1.95,11.3,27.3,1.8,1.88,20.32374101
000703.SZ,恒逸石化,2018/12/31,0.8,6.77,13.2,62.7,0.694,1.83,33.07291669
000705.SZ,浙江震元,2018/12/31,0.21,4.26,5.08,31.9,1.88,1.37,24.75247525
000707.SZ,*ST双环,2018/12/31,0.293,0.402,48.2,95.9,0.428,0.54,34.60207612
000708.SZ,中信特钢,2018/12/31,1.14,9.8,12.1,42.6,1.66,1.76,42.18928164
000709.SZ,河钢股份,2018/12/31,0.32,4.53,7.1,71.8,0.513,0.606,20.42253521
000710.SZ,贝瑞基因,2018/12/31,0.76,5.37,15.6,10.8,6.02,0.723,36.67711599
000711.SZ,京蓝科技,2018/12/31,0.12,4.95,2.39,59.2,1.23,0.253,16.5329053
000712.SZ,锦龙股份,2018/12/31,-0.2,3.85,-5.06,82.3,0,0.0309,57.59911894
000713.SZ,丰乐种业,2018/12/31,0.178,4.79,3.65,33.5,1.87,0.831,28.38427948
000715.SZ,中兴商业,2018/12/31,0.32,4.83,6.89,37.9,1.71,1.18,56.45438901
000716.SZ,黑芝麻,2018/12/31,0.084,3.66,2.25,47.6,1.07,0.759,92.47311826
000717.SZ,韶钢松山,2018/12/31,1.37,2.55,72.3,62.4,0.527,1.76,25.49450548
000718.SZ,苏宁环球,2018/12/31,0.336,2.84,12.2,52.9,1.91,0.168,27.67295595
000719.SZ,中原传媒,2018/12/31,0.72,7.53,9.86,32.7,2.22,0.801,11.05463787
000720.SZ,新能泰山,2018/12/31,0.832,1.69,65.2,56.7,1.78,0.365,59.36599424
000721.SZ,西安饮食,2018/12/31,0.019,1.33,1.43,47.4,1.04,0.422,46.59949622
000722.SZ,湖南发展,2018/12/31,0.2,6.15,3.36,7.03,12.1,0.0841,47.9270315
000723.SZ,美锦能源,2018/12/31,0.44,1.74,24.2,56.7,0.777,0.932,187.5389408
000725.SZ,京东方A,2018/12/31,0.1,2.47,4.03,60.4,1.6,0.347,48.28897337
000726.SZ,鲁泰A,2018/12/31,0.9,7.75,11.3,26.7,1.47,0.664,9.47476827
000727.SZ,冠捷科技,2018/12/31,-0.218,2.16,-9.6,48,0.833,0.173,84.3537415
000728.SZ,国元证券,2018/12/31,0.2,7.32,2.68,68.4,0,0.0322,49.71346705
000729.SZ,燕京啤酒,2018/12/31,0.064,4.6,1.39,22.2,1.63,0.634,13.65248228
000731.SZ,四川美丰,2018/12/31,0.371,4.73,8.1,30.2,1.7,0.62,38.84462151
000732.SZ,泰禾集团,2018/12/31,2.05,14.8,14.8,86.9,1.59,0.138,35.09272467
000733.SZ,振华科技,2018/12/31,0.503,9.37,5.77,51,1.94,0.558,40.76782447
000735.SZ,罗牛山,2018/12/31,0.338,3.45,10.3,35.2,1.67,0.184,28.15734987
000736.SZ,中交地产,2018/12/31,1.82,5.13,37,89.5,1.43,0.245,24.49528936
000737.SZ,南风化工,2018/12/31,0.487,0.694,410,74.9,0.81,0.872,58.65724382
000738.SZ,航发控制,2018/12/31,0.226,4.68,4.94,21.9,3,0.381,29.10447763
000739.SZ,普洛药业,2018/12/31,0.314,2.84,11.6,41.8,1.4,1.11,49.46236554
000750.SZ,国海证券,2018/12/31,0.02,3.22,0.535,77.8,0,0.0329,41.28440367
000751.SZ,锌业股份,2018/12/31,0.04,1.72,2.21,48,1.2,1.89,29.8245614
000752.SZ,*ST西发,2018/12/31,-1.56,1.42,-70.9,44.9,0.995,0.248,15.03546099
000753.SZ,漳州发展,2018/12/31,0.093,2.28,4.17,52.7,1.45,0.612,21.76870749
000755.SZ,山西路桥,2018/12/31,0.103,2.23,5.61,88.6,0.369,0.287,22.86432161
000756.SZ,新华制药,2018/12/31,0.4,4.32,9.71,52.7,0.995,0.931,37.83783783
000757.SZ,浩物股份,2018/12/31,0.18,1.55,12,43.3,1.57,0.536,7.79467681
000758.SZ,中色股份,2018/12/31,0.0608,2.66,2.31,62.7,1.41,0.619,32.60273973
000759.SZ,中百集团,2018/12/31,0.63,4.98,13.5,54.7,0.721,1.93,37.31060606
000761.SZ,本钢板材,2018/12/31,0.272,4.94,6.2,67,1.02,0.818,25.89285712
000762.SZ,西藏矿业,2018/12/31,-0.348,3.79,-8.76,14.4,4.82,0.169,24.92581602
000766.SZ,通化金马,2018/12/31,0.34,4.87,7.28,20.8,2.21,0.357,29.15451895
000767.SZ,晋控电力,2018/12/31,0.104,2.45,4.32,84,0.564,0.227,18.62348178
000768.SZ,中航西飞,2018/12/31,0.202,5.8,3.51,59.7,1.41,0.755,28.77643512
000776.SZ,广发证券,2018/12/31,0.56,11.2,5.06,77.2,0,0.0409,27.52365937
000777.SZ,中核科技,2018/12/31,0.269,3.54,7.82,39.8,1.83,0.567,46.36091724
000778.SZ,新兴铸管,2018/12/31,0.527,5.14,10.5,58.1,1.06,0.804,18.79350348
000779.SZ,甘咨询,2018/12/31,0.624,4.34,24.4,61.7,1.08,0.85,47.86620533
000780.SZ,ST平能,2018/12/31,-0.25,4.1,-5.73,20.1,3.61,0.401,24
000782.SZ,美达股份,2018/12/31,0.07,2.72,2.83,48.9,1.39,1.38,23.88758781
000783.SZ,长江证券,2018/12/31,0.05,4.63,0.97,73.1,0,0.0411,46.21359222
000785.SZ,居然之家,2018/12/31,0.26,4.57,5.82,51.8,0.999,1.46,68.75957127
000786.SZ,北新建材,2018/12/31,1.46,8.45,18.5,19.4,2.44,0.739,46.43895356
000788.SZ,北大医药,2018/12/31,0.08,2.04,3.78,43.6,2.04,1.1,54.98084292
000789.SZ,万年青,2018/12/31,1.85,6.57,31.9,39.4,1.34,1.11,41.96510553
000790.SZ,华神科技,2018/12/31,0.0556,1.49,3.72,22.9,3.35,0.526,32.26600987
000791.SZ,甘肃电投,2018/12/31,0.5,6.2,8.32,67.6,1.19,0.121,28.26086957
000792.SZ,*ST盐湖,2018/12/31,-1.24,5.47,-18.7,74.9,0.365,0.227,-3.29512894
000793.SZ,华闻集团,2018/12/31,-2.5,2.35,-69.2,57.6,1.43,0.263,58.24915825
000795.SZ,英洛华,2018/12/31,0.1,1.93,5.27,22.3,3.52,0.779,41.45658263
000796.SZ,凯撒旅业,2018/12/31,0.242,2.76,9.18,60.9,1.58,1.34,26.5060241
000797.SZ,中国武夷,2018/12/31,0.205,3.83,5.53,63.1,1.94,0.313,25.7142857
000798.SZ,中水渔业,2018/12/31,0.179,2.32,8.01,24.4,2.04,0.604,31.34615385
000799.SZ,酒鬼酒,2018/12/31,0.685,6.71,10.6,24.1,3.08,0.439,61.57697121
000800.SZ,一汽解放,2018/12/31,0.125,4.95,2.54,56.3,1.03,1.37,27.49244714
000801.SZ,四川九洲,2018/12/31,0.0868,2.35,3.75,55.1,1.72,0.729,53.11778291
000802.SZ,ST北文,2018/12/31,0.172,6.83,2.59,24.2,2.72,0.122,14.00180664
000803.SZ,北清环能,2018/12/31,0.06,0.676,9.89,86.9,0.757,0.376,23.25962326
000806.SZ,ST银河,2018/12/31,-0.642,1.26,-40.4,43.8,1.66,0.262,64.69072165
000807.SZ,云铝股份,2018/12/31,-0.56,3.17,-16.2,75.4,0.464,0.591,25.77319588
000809.SZ,铁岭新城,2018/12/31,0.117,3.88,3.07,44.9,3.36,0.264,25.53191489
000810.SZ,创维数字,2018/12/31,0.32,2.84,11.4,62.8,1.38,0.975,105.3956835
000811.SZ,冰轮环境,2018/12/31,0.43,4.33,10.2,51,1.17,0.621,76.40232107
000812.SZ,陕西金叶,2018/12/31,0.0291,1.77,1.65,46.2,0.895,0.387,36.99421967
000813.SZ,德展健康,2018/12/31,0.416,2.36,18.9,10.8,7.63,0.595,54.90196084
000815.SZ,美利云,2018/12/31,0.06,2.93,2.2,33.4,2.03,0.356,28.14814815
000816.SZ,智慧农业,2018/12/31,0.03,2.2,1.33,38.9,1.25,0.26,50.32679742
000818.SZ,航锦科技,2018/12/31,0.73,3.51,20.5,41.6,0.78,0.953,32.8277356
000819.SZ,岳阳兴长,2018/12/31,0.192,2.7,7.39,12.1,6.25,2.39,27.06681766
000820.SZ,*ST节能,2018/12/31,-1.1,0.3,-151,89.8,1.26,0.00594,18.24686941
000821.SZ,京山轻机,2018/12/31,0.27,5.24,6.12,43.4,1.56,0.545,25.58746736
000822.SZ,山东海化,2018/12/31,0.66,3.77,18.9,27,2.22,1.18,24.12371134
000823.SZ,超声电子,2018/12/31,0.503,6.17,8.39,31.5,2.05,0.939,30.12820513
000825.SZ,太钢不锈,2018/12/31,0.874,5.35,17.4,57.1,0.762,0.997,23.67149758
000826.SZ,启迪环境,2018/12/31,0.381,9.06,4.33,61.4,0.705,0.3,49.08565938
000828.SZ,东莞控股,2018/12/31,1.01,6.25,17.3,40.7,0.863,0.153,28.78179383
000829.SZ,天音控股,2018/12/31,-0.22,2.4,-8.53,80.5,0.975,3.16,17.11229947
000830.SZ,鲁西化工,2018/12/31,2.02,7,29.2,60.5,0.169,0.766,47.34693877
000831.SZ,五矿稀土,2018/12/31,0.104,2.17,4.91,7.69,10.6,0.406,56.98924736
