证券代码,总资产报酬率,净资产收益率,销售毛利率,销售净利率,流动比率,速动比率,资产负债率,总资产同比增长率,净资产同比增长率,存货周转率,周涨跌幅,均价,振幅,换手率,成交量,最高价,最低价,开盘价,收盘价
831856,3.54,4.88,22.47,7.74,2.96,2.02,32.83,0,0,1.43,-2.36,8.6116,2.516,0.672,159102.4,8.736,8.518,8.624,8.608
831832,3.53,3.88,39.11,8.51,2.39,1.8,38.04,0,0,0.99,0.72,19.0764,3.148,1.894,724614.2,19.376,18.778,19.05,19.01
837344,3.39,3.63,81.24,16.1,16.55,15.37,8.76,0,0,0.87,-2.94,23.0264,3.14,0.466,148182,23.468,22.736,23.22,23
834765,3.17,5.23,19.03,3.92,3.71,3.18,29.98,16.5,58.6,4.94,-3.1,9.2278,3.096,0.93,166797.4,9.4,9.11,9.326,9.234
834415,2.95,3.02,45.97,11.39,6.04,5.59,14.93,-5.15,-0.28,2.52,-8.12,5.8326,3.29,1.18,927223,5.962,5.764,5.92,5.812
836263,1.93,2.41,24.24,3.71,3,2.93,33.12,3.04,-5.45,15.26,-2.43,5.6338,1.584,0.456,289243,5.682,5.592,5.65,5.632
835670,1.56,2.14,66.82,11.93,27.21,26.15,3.16,0,0,2.37,-0.6,16.394,3.86,1.17,361919.2,16.764,16.13,16.418,16.446
430090,1.39,0.84,15.02,0.6,2.78,1.74,36.02,32.98,40.1,2.2,-2.1,5.9684,5.312,3.142,2794259.4,6.116,5.802,6.012,5.962
430198,1.18,1.66,62.46,10.85,9.01,8.42,8.82,3.59,5.28,1.26,-1.9,9.2062,2.176,0.58,375053.2,9.33,9.128,9.276,9.21
832171,0.69,1.16,36.15,1.13,2.64,2.23,31.26,0,0,1.83,-4.35,16.6054,3.8,3.774,773618.4,17.018,16.38,16.746,16.58
835508,-0.56,-0.77,28.28,-2.78,6.74,6.21,15.69,3.97,-0.27,1.88,-4.26,11.2296,3.728,1.024,184811.4,11.432,11.008,11.326,11.192
